url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,32,5
/CTF-FlagFrenzy/challenges/pulls,32,3
/CTF-FlagFrenzy/challenges/pull/47,14,1
/CTF-FlagFrenzy/challenges/tree/main/Solana_Assets,9,3
/CTF-FlagFrenzy/challenges/network/dependencies,8,1
/CTF-FlagFrenzy/challenges/tree/main,6,1
/CTF-FlagFrenzy/challenges/blob/main/Solana_Assets/docker-compose.yml,4,2
/CTF-FlagFrenzy/challenges/blob/main/Solana_Assets/solana_assets.md,4,2
/CTF-FlagFrenzy/challenges/blob/main/Solana_Assets/writeup.md,4,2
/CTF-FlagFrenzy/challenges/tree/main/Solana_Assets/django,4,2
