url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,27,4
/CTF-FlagFrenzy/challenges/blob/main/README.md,5,1
/CTF-FlagFrenzy/challenges/tree/Hidden_Job,5,1
/CTF-FlagFrenzy/challenges/tree/main/Hidden_Job,4,1
/CTF-FlagFrenzy/challenges/tree/main/Hidden_Job/flask_app,4,1
/CTF-FlagFrenzy/challenges/edit/main/README.md,3,1
/CTF-FlagFrenzy/challenges/tree/main,3,1
/CTF-FlagFrenzy/challenges/blob/Hidden_Job/Hidden_Job/flask_app/requirements.txt,2,1
/CTF-FlagFrenzy/challenges/compare/Happy_File,2,1
/CTF-FlagFrenzy/challenges/compare/Hidden_Job...main,2,1
