url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,9,4
/CTF-FlagFrenzy/challenges/tree/main/Behind_The_Pixels,7,1
/CTF-FlagFrenzy/challenges/tree/main/Git_Secrets_Layers_of_Discovery,6,1
/CTF-FlagFrenzy/challenges/tree/main/Hidden_Frequencies,6,1
/CTF-FlagFrenzy/challenges/tree/main/Time_Travelers_Hunt,6,1
/CTF-FlagFrenzy/challenges/tree/main/Profile_Prodigy,5,2
/CTF-FlagFrenzy/challenges/blob/main/Git_Secrets_Layers_of_Discovery/Git_Secrets_Layers_of_Discovery.md,5,1
/CTF-FlagFrenzy/challenges/tree/main,4,1
/CTF-FlagFrenzy/challenges/tree/main/Hidden_Frequencies/challenge,4,1
/CTF-FlagFrenzy/challenges/blob/main/Profile_Prodigy/writeup.md,3,2
