url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,22,4
/CTF-FlagFrenzy/challenges/pull/47,12,1
/CTF-FlagFrenzy/challenges/pulls,12,1
/CTF-FlagFrenzy/challenges/tree/main,8,2
/CTF-FlagFrenzy/challenges/tree/main/Solana_Assets,7,2
/CTF-FlagFrenzy/challenges/blob/main/Solana_Assets/docker-compose.yml,4,2
/CTF-FlagFrenzy/challenges/tree/main/Solana_Assets/django,4,2
/CTF-FlagFrenzy/challenges/blob/main/Time_Travelers_Hunt/writeup.md,4,1
/CTF-FlagFrenzy/challenges/blob/main/Solana_Assets/django/Dockerfile,3,2
/CTF-FlagFrenzy/challenges/tree/main/Solana_Assets/django/Solana_Assets,3,2
