url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,16,4
/CTF-FlagFrenzy/challenges/tree/Hidden_Job,6,2
/CTF-FlagFrenzy/challenges/tree/main/Hidden_Job,4,1
/CTF-FlagFrenzy/challenges/tree/main/Hidden_Job/flask_app,4,1
/CTF-FlagFrenzy/challenges/tree/main,3,2
/CTF-FlagFrenzy/challenges/blob/Hidden_Job/Hidden_Job/flask_app/requirements.txt,2,1
/CTF-FlagFrenzy/challenges/compare/Happy_File,2,1
/CTF-FlagFrenzy/challenges/compare/Hidden_Job...main,2,1
/CTF-FlagFrenzy/challenges/pull/38,2,1
/CTF-FlagFrenzy/challenges/tree/main/Hidden_Job/flask_app/hidden,2,1
