url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,16,6
/CTF-FlagFrenzy/challenges/tree/main/Behind_The_Pixels,7,1
/CTF-FlagFrenzy/challenges/tree/main/Git_Secrets_Layers_of_Discovery,7,1
/CTF-FlagFrenzy/challenges/tree/main/Time_Travelers_Hunt,7,1
/CTF-FlagFrenzy/challenges/tree/main,6,1
/CTF-FlagFrenzy/challenges/tree/main/Hidden_Frequencies,6,1
/CTF-FlagFrenzy/challenges/blob/main/Git_Secrets_Layers_of_Discovery/Git_Secrets_Layers_of_Discovery.md,5,1
/CTF-FlagFrenzy/challenges/tree/main/Decryption_Master,5,1
/CTF-FlagFrenzy/challenges/blob/main/Git_Secrets_Layers_of_Discovery/writeup.md,4,1
/CTF-FlagFrenzy/challenges/tree/main/Hidden_Frequencies/challenge,4,1
